Ааронов	aaron
лука	pommel,bend
лукавец	crafty sly person,slyboots
лукавинка	playful slyness,archness
лукавить	be cunning
лукавость	slyness,archness
лукавство	slyness,archness
лукавый	sly,arch,cunning,playful,the evil one
луковица	onion,bulb
луковичный	adjective of луковица
луковый	adjective of лук
лукоморье	curved seashore
лукошко	bast-basket
луна	moon
лунатизм	sleep-walking,somnambulism
лунатик	sleep-walker,somnambulist
лунатический	somnambulistic,noctambulant
лунка	hole,alveolus
лунник	lunik,moon rocket
лунный	adjective of луна,lunar
луноход	lunokhod,moon-buggy
лунь	hen-harrier,ring-tail
лупа	magnifier,magnifying glass
лупить	peel,bark,thrash,flog
лупиться	scale,peel off,come off
лупоглазый	goggle-eyed,pop-eyed
лупцевать	beat,flog
луч	ray,beam
лучевой	radial
лучезарный	radiant,effulgent
лучеиспускание	radiation
лучепреломление	refraction
лучина	splinter,chip,torch
лучистый	radiant,radial
лучиться	shine brightly,be radiant
лучник	archer
лучше	better,it is better
лучший	better,best,the best,the better
лущильник	stubble plough
лущить	crack,husk,hull,pod,shell
лущёный	hulled
лыжа	ski
лыжи	skis,skiing
лыжник	skier
лыжница	skier
лыжный	ski
лыжня	ski-track
лыко	bast,bass
лысеть	grow bald
лысина	star
лысый	bald,bald-headed
лычко	badges of rank
львиный	adjective of лев
львица	lioness
львовский	lviv,related to lviv,lviv-based
львёнок	lion cub
льгота	privilege,advantage
льготник	beneficiary
льготный	adjective of льгота
льдина	block of ice,ice-floe
льдинка	piece of ice
льдистый	icy,ice-covered
льновод	flax cultivator
льноводство	flax cultivation growing
льноволокно	flax fibre
льнокомбайн	flax-harvesting combine
льнопрядение	flax spinning
льнопрядильный	flax-spinning
льнопрядильня	flax-mill
льносеялка	flax-sowing machine
льнотеребилка	flax puller
льнотрепалка	scutcher,scutching-sword
льнуть	sling,stick,cling,have a weakness,make up
льняной	flax,linen
льстец	flatterer,adulator
льстивый	flattering,smooth-tongued,smooth-spoken
льстить	flatter,adulate,please
льститься	be tempted
любвеобильный	loving,full of love
любезно	kindly,courteously,politely,nicely
любезность	courtesy,compliment,kindness
любезный	amiable,polite,obliging,my man
любимец	pet,favourite,minion
любимица	pet,favourite,minion
любимчик	pet
любимый	favorite
любитель	amateur,dilettante,lover
любительски	in an amateurish manner way
любительский	amateur,choice
любительство	amateurishness
любить	love,like
любо	it is pleasant
любо-дорого	it is a real pleasure
любоваться	admire,contemplate
любовник	lover
любовница	mistress
любовный	love,amorous,loving
любовь	love
любознательность	inquisitiveness,intellectual curiosity
любознательный	inquisitive,curious
любой	any,every,anyone,either
любопытно	it is interesting
любопытный	curious,curious person
любопытство	curiosity
любопытствовать	be curious
любящий	loving,affectionate
люгер	lugger
люд	people,folk
людный	populous,crowded,busy
людоед	cannibal,man-eater,ogre
людоедство	cannibalism,anthropophagy
людской	human
люизит	lewisite
люк	hatchway,hatch,trap
люкс	lux,de luxe,first class
люлька	cradle,gun-cradle,pipe
люмбаго	lumbago
люминал	luminal
люминесцентный	luminescent
люстра	chandelier
лютик	spearwort,banewort,ranunculus
лютость	fierceness,ferocity
лютый	fierce
лягаться	kick
лягушка	frog
лялька	baby
ляпис	lunar caustic,silver nitrate
ляпис-лазурь	lapis lazuli
ляпнуть	blurt out
ляпсус	blunder,slip
лярд	lard
лёгкий	light,easy,slight,lung
лёгкое	lung,lights
лёгкость	lightness,easiness
лёгочный	pulmonare
лёд	ice
лён	linen,flax
лёсс	loess,loss
лёт	flight
лётка	notch
лётный	flying
лётчик	flier,flyer,pilot
лётчик-испытатель	test-pilot
лётчик-истребитель	fighter pilot,pursuit pilot
лётчик-космонавт	space pilot
лётчик-наблюдатель	observer
лётчица	woman-pilot
мавзолей	mausoleum
мавр	moor
мавританка	moor
мавританский	moorish,moresque
маг	magian,magician,wizard
магазин	shop,store,magazine
магазинный	adjective of магазин
магараджа	maharaja
магарыч	celebration
магистраль	main,highway,arterial road
магистральный	main,arterial
магистратура	the magistrates,master’s degree,graduate
магический	magic,magical
магия	magic
магма	magma
магматический	magmatic
магнат	magnate,baron
магнезит	magnesite
магнезия	magnesia
магнетизировать	mesmerize
магнетизм	magnetism,magnetics
магнетизёр	mesmerist
магнетит	magnetite
магнетический	magnetic
магнето	magneto
магнетрон	magnetron
магниевый	adjective of магний
магний	magnesium
магнит	magnet
магнитный	magnetic
магнитометр	magnetometer
магнитофон	tape-recorder
магнитофонный	tape-recorder
магнитоэлектрический	electro-magnetic
магнолиевый	magnoliaceae
магнолия	magnolia
магометанин	mohammedan,muhammadan
магометанка	mohammedan,muhammadan
магометанский	mohammedan,muhammadan
магометанство	mohammedanism,muhammadanism
мадам	madam,governess
мадаполам	madapollam
мадаполамовый	madapollam
мадемуазель	mademoiselle
мадера	madeira
мадонна	madonna
мадригал	madrigal
мадьяр	magyar
мадьярка	magyar
мадьярский	magyar
мажор	major key,cheerful mood
мажордом	majordomo
мажорный	major,buoyant,cheerful
маз	mace
мазанка	cottage of daub and wattle
мазаный	soiled,dirty,stained
мазать	oil,grease,lubricate,smear,spread
мазаться	soil oneself,make up
мазер	maser
мазилка	paint-brush,dauber,daubster
мазнуть	brush,touch lightly,dab
мазня	daub,inartistic painting
мазок	dab,stroke of the paint-brush,touch,smear
мазурик	rogue,swindler
мазурка	mazurka
мазут	mazut,black oil
мазутный	adjective of мазут
мазь	ointment,liniment
маис	maize,indian corn,corn
май	may
майдан	market,market place
майка	t-shirt,sports-jersey,vest,undershirt,thin part along the neck t-shirt
майолика	majolica
майонез	mayonnaise
майор	major
майорат	right of primogeniture,entailed estate
майорский	adjective of майор,major
майский	may-day
мак	poppy,poppy-seed
макадам	macadam
макака	macaque
макао	macaw
макаронизм	macaronism
макаронник	baked macaroni pudding
макаронный	adjective of макароны
макароны	pasta,macaroni
макать	dip
македонец	macedonian
македонка	macedonian
македонский	macedonian
макет	model,mock-up,dummy,scale model
макиавеллизм	machiavellism
макиавеллистический	machiavellian
макинтош	mackintosh
макияж	make-up
маклак	broker,jobber,middleman
маклачество	jobbing,second-hand dealing
маклер	broker
маклерство	broking,brokerage
маковка	poppy-head,cupola,top,summit,crown
маковые	papaverous plants,papaveraceae
маковый	papaverous,papaveraceous
макрель	mackerel
макрокосм	macrocosm
макромир	macrocosm
макроскопический	macroscopic
максим	maxim
максима	maxim
максимализм	maximalism
максималист	maximalist
максималистка	maximalist
максимально	at most,as much as possible
максимальный	maximum,highest possible
максимум	maximum,upper limit,at most
макулатура	scrap paper,literature fit for pulp
макушка	top,summit,crown
мал	too little,too small
малага	malaga
малагасиец	malagasy
малагасийка	malagasy
малагасийский	malagasy
малаец	malay,malayan
малайка	malay,malayan
малайский	malay,malayan
малахай	malakhai
малахит	malachite
малахитовый	adjective of малахит
малевать	paint,daub
малейший	the least,the slightest
маленький	small,little,diminutive,slight,young
маленько	a little,a bit
малец	lad,stripling
малиец	malian
малийка	malian
малийский	malian
малина	raspberries,raspberry,raspberry-cane
малинник	raspberry-canes
малинный	adjective of малина
малиновка	robin,redbreast,raspberry brandy
малиновый	raspberry,crimson
малица	deerskin overcoat
малка	bevel
мало	little,few,not enough
мало-мальски	in the slightest degree,to the slightest extent
мало-помалу	little by little,bit by bit,gradually,by slow degrees
малоавторитетный	insufficiently authoritative
малоазиатский	asia minor,of asia minor
маловажный	unimportant,of little importance,of small import
маловат	a little too small,not the right size,undersized
маловато	not quite enough,barely sufficient
маловер	of little faith
маловерие	lack of faith
маловерный	lacking faith
маловероятный	hardly probable,not likely,unlikely
маловодный	with little water,dry,arid,shallow
маловодье	shallowness,low water-level
маловразумительный	not clear,unconvincing
маловыгодный	not remunerative,not profitable,of small profit
малогабаритный	small
малоговорящий	not expressive
малограмотность	semi-literacy,crudity,ignorance
малограмотный	semi-literate,half-educated,crude,raw,unskilled
малодаровитый	poorly endowed
малодейственный	ineffective
малодоказательный	not very convincing
малодостоверный	not well-founded,unlikely
малодоступный	difficult of access,not readily available
малодоходный	bringing little profit,not very profitable,not very remunerative
малодушие	faint-heartedness,cowardice
малодушный	cowardly,faint-hearted,craven,poor-spirited
малоезженый	little ridden,little used,not well-trodden
малоезжий	unfrequented,off the beaten track,neglected
малозаметный	hardly out of the ordinary,undistinguished
малоземелье	shortage of land
малоземельный	having insufficient land
малознакомый	unfamiliar,little known
малозначащий	of little significance,unimportant
малозначительный	of little significance,unimportant
малоизвестный	little known,not popular
малоизученный	insufficiently known explored
малоимущий	poor,indigent,needy
малоинтересный	of little interest
малоисследованный	scantily explored
малокалиберный	small-calibre,small-bore
малокалорийный	low in calories,low-calorie
малокровие	anaemia
малокровный	anaemic
малокультурный	lacking culture
малолесье	scarcity of forests
малолетка	young child
малолетний	very young,of tender age,under age,juvenile,minor
малолетство	infancy,nonage,minority
малолитражный	with small capacity
малолюдность	scarcity of people,poor attendance
малолюдный	not crowded,unfrequented,thinly populated
малолюдье	scarcity of people
маломальский	least,slightest
маломерный	of small size
малометражный	small
маломощный	lacking power
малонадёжный	not very reliable
малообеспеченный	not sufficiently provided for
малообоснованный	not well grounded,ill-founded
малообразованный	of little education
малообщительный	uncommunicative,unsociable
малоопытный	inexperienced,of little experience
малоосвоенный	little-developed
малоосновательный	not well founded,ill-founded,not reliable
малопитательный	not very nutritious,of low nutritional value
малоплодовый	bearing little fruit
малоплодородный	poor,scanty
малоподвижный	not mobile
малопоместительный	not capacious,not roomy
малопонятливый	slow in the uptake
малопонятный	hard to understand,obscure
малоприбыльный	of little profit,bringing little profit
малопригодный	of little use
малоприятный	not very pleasant
малопродуктивный	underproductive,not efficient,not fruitful,low-yield
малоразвитой	underdeveloped,half-educated
малоразвитый	underdeveloped,half-educated
малоразговорчивый	reticent,taciturn
малораспространённый	not in current use
малоречивый	quiet,reticent
малорослый	undersized,stunted
малосведущий	of little knowledge,ill-informed
малосемейный	having a small family
малосильный	weak,feeble,low-powered
малосодержательный	insipid,empty
малосольный	slightly salted,freshly-salted
малосостоятельный	not well-off,not prosperous,inconclusive,unconvincing
малоспособный	of indifferent abilities
малостойкий	not stable
малость	trifle,somewhat,a bit
малосущественный	not substantial,unimportant
малотиражный	of small limited circulation
малотребовательный	not strict,not exacting
малоубедительный	not conclusive,unconvincing,not persuasive
малоудойный	giving little milk
малоупотребительный	rare,not much in use,little-used
малоурожайный	low-yield
малоуспешный	unsuccessful
малоутешительный	not very comforting
малоценный	of little value,not valuable
малочисленность	small number
малочисленный	small in numbers,scanty
малочувствительный	not sensitive,of little sensitivity
малоэффективный	ineffective
малый	small,the little,fellow,boy,lad
малыш	small child,youngster,kiddy,little one,little man
малышня	kids,little ones
мальва	mallow
мальвазия	malmsey
мальвовый	malvaceae
мальтоза	maltose
мальтузианский	malthusian
мальтузианство	malthusianism
мальчик	boy,lad,apprentice
мальчиковый	for boys
мальчишеский	boyish,puerile
мальчишество	boyishness
мальчишка	boy,also sea urchin
мальчишник	stag-party
мальчонка	little boy,laddie
мальчонок	little boy,laddie
мальчуган	little boy,laddie
малюсенький	tiny,wee
малютка	baby,my little one
малявка	little one,shorty
маляр	painter,paper-hanger
малярийный	malarial
малярик	person suffering from malaria
малярия	malaria
малёк	fry,young fish
мама	mom,mama,mommy,mummy
мамалыга	hominy,polenta
мамаша	mother
мамелюк	mameluke
мамка	mother,nurse
мамон	mammon
мамона	mammon
мамонт	mammoth
мамочка	mummy
манатки	possessions,goods and chattels,bits and pieces
мангал	brazier
манганит	manganite
манго	mango
мангуста	mongoose
мандарин	mandarin,tangerine,mandarine,tangerine-tree
мандат	mandate,warrant
мандатный	mandate,warrant,mandatory
мандибулы	mandibles
мандолина	mandolin,mandoline
мандолинист	mandolin-player,mandoline-player
мандрагора	mandragora
мандрил	mandrill,baboon
маневр	maneuver
маневрировать	manoeuvre,make evolutions,shunt
маневровый	shunting
манеж	riding-school,manege,riding-house,riding-hall,arena
манежить	try the patience,keep in suspense
манежный	adjective of манеж
манекен	mannequin,model,lay figure
манекенщик	model
манекенщица	model
манер	manner
манера	manner,style
манерка	mess tin
манерничать	behave affectedly,simper,be affected
манерность	affectation,preciosity
манерный	affected,pretentious,precious
манжета	cuff
манжетка	cuff
маниакальный	maniacal
маникюр	manicure
маникюрный	manicure
маникюрша	manicurist
маниловщина	manilovism
манипулировать	manipulate
манипулятор	manipulator
манипуляция	manipulation
манить	beckon,wave,attract,lure,entice
манифест	manifesto
манифестант	demonstrator
манифестантка	demonstrator
манифестация	mass demonstration
манифестировать	demonstrate
манишка	shirtfront,dicky
мания	mania
манкировать	be absent,neglect
манна	manna
мановение	beck,nod
манометр	pressure-gauge,manometer
манометрический	manometric
мансарда	attic,garret
манси	mansi
мансиец	mansi
мансийка	mansi
мансийский	mansi
мантилья	mantilla
мантия	cloak,mantle,gown,robe
манто	opera-cloak,mantle,coat
манускрипт	manuscript
мануфактура	manufactory,textile mill,textiles,drapery,dress materials
маньчжур	manchurian
маньчжурка	manchurian
маньчжурский	manchurian
маньяк	maniac
манящий	alluring
манёвренность	manoeuvrability
манёвренный	manoeuvre,manoeuvring,manoeuvrable,shunting
манёвры	manoeuvres,shunting
марабу	marabou
маразм	marasmus,decay
мараковать	have some notion,be not completely at sea,have some idea
марал	maral,siberian stag
маранье	soiling,daub,scribble
мараскин	maraschino
марать	soil,stain,dirty,smut,sully
мараться	soil oneself,get oneself dirty
марафон	marathon
марашка	turn
марганец	manganese
марганцевый	manganese
марганцовистый	manganous
марганцовка	manganese crystals,manganese solution
маргарин	margarine
маргаритка	daisy
маргиналии	marginalia,marginal notes
марево	mirage,haze
маремма	maremma
марена	madder
маренго	greyish black
мари	mari
мариец	mari
марийка	mari
марийский	mari
марина	sea-scape,sea-piece,marine
маринад	marinade,pickles
маринист	painter of sea-scapes
маринование	pickling
маринованный	marinated,pickled
мариновать	marinate,pickle,delay,shelve,put off
марионетка	marionette,puppet
марихуана	marijuana,pot,grass
марка	stamp,mark,sign,brand,grade
маркграф	margrave
маркетинг	marketing
маркиз	marquis,marquess
маркиза	marchioness,marquise,sun-blind
маркизет	voile,marquisette
маркий	easily soiled
маркировать	mark
маркировка	marking
маркировщик	marker
маркитант	sutler,canteen-keeper
маркитантка	sutler,canteen-keeper
марксизм	marxism
марксизм-ленинизм	marxism-leninism
марксист	marxist
марксистка	marxist
марксистский	marxist
маркшейдер	mine-surveyor
маркёр	marker,billiard-scorer
марлевый	adjective of марля
марля	gauze,cheesecloth
мармелад	fruit jelly
марморировать	marble
мародёр	marauder,pillager,looter
мародёрство	marauding,pillage,looting
мародёрствовать	maraud,pillage,loot
марокен	marocain
марокканец	moroccan
марокканка	moroccan
марокканский	moroccan
марочный	adjective of марка
марс	mars,top
марсала	marsala
марсель	topsail
марсельеза	marseillaise
марсианин	martian
марсианский	martian
март	march
мартен	open-hearth furnace
мартеновский	martin
мартиролог	martyrology
мартовский	march
мартышка	marmoset,monkey
марципан	marchpane,marzipan
марш	march,flight of stairs
маршал	marshal
маршальский	adjective of маршал
маршевый	adjective of марш
маршировать	march
маршировка	marching
маршрут	route,itinerary
маршрутка	small van,autobus for transport
маршрутный	adjective of маршрут
маска	mask,deathmask
маскарад	masquerade,fancy ball
маскарадный	adjective of маскарад
маскировать	mask,disguise,camouflage
маскироваться	put on a mask,camouflage
маскировка	masking,disguise,disguising oneself,camouflage
маскировочный	adjective of маскировка
масленица	shrovetide,pancake week
масленый	buttered,oiled,oily,unctuous,sensuous
маслина	olive,olive-tree
маслить	butter,oil,grease
маслиться	leave greasy marks,shine,glisten
масличный	oleaceae,oil-bearing plants
масло	butter,oil,oil painting
маслобойка	churn,oilpress
маслобойня	oil-mill
маслодел	butter manufacturer
маслоделие	butter industry,butter manufacturing,oil manufacturing
маслозавод	creamery,butter-dairy,oil-mill
маслоотделитель	oil separator
маслопровод	oil pipe-line
маслосборник	oil-pan
маслоуловитель	oil catcher,oil collector
маслянистость	oiliness
маслянистый	oily,buttery
масляный	adjective of масло,oily,buttery
маслёнка	butterdish,lubricator,oiler,oil-can
маслёнок	boletus luteus
масон	freemason,mason
масонский	masonic
масонство	freemasonry
масса	mass,paste,a lot,lots
массаж	massage
массажист	masseur
массажистка	masseuse
массив	massif,mountain-mass
массивный	massive
массировать	massage,rub,mass,concentrate
массовка	mass meeting,excursion,crowd scene
массовость	mass character
массовый	mass,popular
массы	the masses
мастак	past master,expert
мастер	foreman,master,expert
мастерить	make,contrive
мастерица	milliner,seamstress,a good hand
мастеровой	factory-hand,artisan,workman
мастерок	trowel
мастерская	workshop
мастерски	skilfully,in masterly fashion
мастерский	masterly
мастерской	masterly
мастерство	handicraft,trade,skill,craftsmanship,workmanship
мастика	mastic,resin,gum,putty,lute
мастистый	of good colour
мастит	mastitis
маститый	venerable
мастодонт	mastodon
мастурбация	masturbation
масть	colour,suit
масштаб	scale
масштабность	scale,range,dimensions
масштабный	large scale,extensive
мат	checkmate,mate,mat,floor-mat
матадор	matador
математик	mathematician
математика	mathematics
математический	mathematical
матереубийство	matricide
матереубийца	matricide
материал	material,stuff,fabric
материализация	materialization
материализм	materialism
материализовать	materialize
материализоваться	materialize
материалист	materialist
материалистический	materialist
материальность	materiality
материальный	material,pecuniary
материк	mainland,continent,subsoil
материковый	adjective of материк
материнский	maternal,motherly
материнство	maternity,motherhood
материть	to curse
материться	to swear,to use filthy language
материя	matter,substance,pus,material,cloth
матерный	adjective of мат
матерой	big,strong,grown-up
матерчатый	of textile fabric
матица	tie-beam,joist
матка	uterus,womb,female,dam,queen
матовый	mat,dull,lustreless
маточный	uterine
матрас	mattress
матриархальный	matriarchal
матриархат	matriarchy
матримониальный	martimonial
матрица	matrix,die,mould
матрицирование	matrix-making
матрицировать	make matrix
матрона	matron
матрос	seaman,sailor
матросский	adjective of матрос
матрёшка	matreshka
матушка	mother
матч	match
мать	mother
мать-героиня	mother-heroine
мать-одиночка	unmarried mother
матёрый	hardened,inveterate
маузер	mauser
мафия	mafia
мах	a single swift movement,one revolution,swift movement of a bodily extremity,step of an animal
махальный	signaller,signal-man
махать	wave,wag,flap
махизм	machism
махинация	machination,intrigue
махнуть	will wave,waved,rush,leap,go off
махнуться	swap
маховик	fly-wheel,handwheel
маховичок	handwheel
махонький	teeny-tiny,small
махорка	makhorka
махровый	really serious,hardcore,terry
махры	frayed edges
маца	matzoth
мацерация	maceration
мацерировать	macerate
мачеха	stepmother
мачта	mast,tower
мачтовый	adjective of мачта
машбюро	typing pool
машина	car,machine,machinery,engine,mechanism
машинально	mechanically,absent-mindedly
машинальный	mechanical,absent-minded
машинизация	mechanization
машинизированный	provided with machines
машинизировать	mechanize
машинист	machinist,engineer,driver,operator,engine-driver
машинистка	typist
машинка	typewriter,sewing-machine,clipper
машинный	adjective of машина
машиноведение	engineering science,theoretical engineering
машинописный	typewritten
машинопись	typewriting,typescript
машиностроение	mechanical engineering,machine-building,machinery construction,engineering industry
машиностроитель	machine builder,industrial engineer
машиностроительный	machine-building
маэстро	master,maestro
маяк	lighthouse,beacon,leading light
маятник	pendulum
маяться	toil,suffer,languish
маячить	loom,appear indistinctly
маёвка	mayovka
мвд	ministry of internal affairs (russia)
мвф	international monetary fund
мгла	haze,shadows
мглистый	hazy
мгновение	instant,moment
мгновенно	instantly,in a trice,in a moment
мгновенный	instantaneous,momentary
мгновенье	instant,moment
мебель	furniture
мебельный	adjective of мебель
мебельщик	furniture-maker,upholsterer
меблированный	furnished
меблировать	furnish
меблировка	furnishing,furniture
мегатонна	megaton
мегафон	megaphone
мегера	shrew,termagant,scold
мегом	megohm
медалист	medallist,medal winner
медалистка	medallist,medal winner
медаль	medal
медальон	medallion,locket
медбрат	male nurse
медведица	she-bear
медведь	bear
медвежатник	safecracker,bear-leader,bear-hunter,bear-garden,bear-pit
медвежий	adjective of медведь,ursine
медвежонок	bear-cub
медвяный	smelling of honey
медеплавильный	copper
меджлис	majlis
медиана	median
медик	medical man,doctor,physician,medical student
медикаментозный	adjective of медикаменты
медикаменты	medicines,medical supplies,medicaments
медитация	meditation
медитировать	meditate
медиум	medium
медицейский	medicean
медицина	medicine
медицинский	medical
медичка	woman medical student
медленно	slowly
медленность	slowness
медленный	slow
медлительно	sluggishly
медлительность	sluggishness
медлительный	sluggish,slow person
медлить	linger,be slow,delay
медник	brazier,copper-smith
медно-красный	copper-coloured
меднолитейный	copper-founding
меднорудный	copper-ore
медный	copper,cupric,cupreous
медовый	adjective of мёд,honeyed
медок	medoc
медонос	melliferous herb
медоносный	melliferous,nectariferous
медосмотр	medical examination,medical
медоточивый	mellifluent,mellifluous,honeyed
медпункт	first-aid post,surgery,aid post,aid station
медсанбат	medical and sanitary battalion
медсестра	nurse
медуза	medusa,jellyfish
медуница	lungwort
медь	copper,copper coins
медяк	copper coin,copper
медяница	blind-worm,slow-worm
медянка	grass-snake,verdigris
медяшка	brass
меж	betwixt,between
межа	boundary path
межбиблиотечный	inter-library
межвидовой	interspecific
межгалактический	intergalactic
межгосударственный	intergovernmental
междометие	interjection
междоусобный	intestine,internecine
между	between
междуведомственный	interdepartmental
междугородный	intertown,inter-city,interurban
международник	specialist in international law affairs
международный	international
междуплеменной	intertribal
междуречье	country between two rivers
междурядный	inter-row,between rows
междурядье	space between rows
междуцарствие	interregnum
межевание	land-surveying
межевать	survey
межевик	land-surveyor,land-surveying engineer
межеумок	person of limited intelligence,a mediocrity
межзональный	interzonal
межзубный	interdental
межклеточный	intercellular
межконтинентальный	intercontinental
межобластной	inter-regional
межпарламентский	inter-parliamentary
межпланетный	interplanetary
межправительственный	intergovernmental
межрайонный	inter-district
межреспубликанский	inter-republican
межрёберный	intercostal
межсессионный	inter-session,interim
мезальянс	mesalliance
мездра	inner side of hide
мезозойский	mesozoic
мезолитический	mesolithic
мезонин	attic storey,mezzanine
мексиканец	mexican
мексиканка	mexican
мексиканский	mexican
мел	chalk,whiting,whitewash
меланезиец	melanesian
меланезийка	melanesian
меланезийский	melanesian
меланхолик	melancholic person
меланхолический	melancholy,melancholic
меланхоличный	melancholy,melancholic
меланхолия	melancholy,spleen,melancholia,depression,blue
мелиоративный	land-reclamation,land-improvement
мелиорация	melioration,land-reclamation,land-improvement
мелить	chalk,polish with whiting
мелкий	small,tiny,shallow,petty,small-minded
мелко	fine,not deep
мелкобуржуазный	petty-bourgeois
мелководный	shallow
мелководье	shoal,shallow water
мелкозернистый	fine-grained,small-grained
мелкокалиберный	small-bore,small-calibre
мелкокрестьянский	small-peasant
мелколесье	low forest
мелкопоместный	owning a small estate
мелкосидящий	shallow-draught
мелкота	smallness,pettiness,meanness,small fry
мелкотемье	concentration on narrow subjects,narrow specialization
мелкотравчатый	petty,puny
меловой	chalky,cretaceous
мелодика	melodics
мелодичность	melody,melodiousness,tunefulness
мелодичный	melodious,tuneful
мелодия	melody,tune
мелодрама	melodrama
мелодраматический	melodramatic
мелодраматичный	melodramatic
мелок	chalk
меломан	music lover
мелочиться	waste time on trifles,niggle
мелочной	small
мелочность	meanness,pettiness,triviality
мелочный	small-minded,petty,mean-spirited
мелочь	small fry,change,trifle,small point,details
мель	shoal
мелькание	flashing,glimpses,gleams
мелькать	flash,gleam,appear for a moment
мелькнуть	flash,gleam,appear for a moment
мельком	in passing,cursorily
мелькомбинат	milling grinding plant
мельник	miller
мельница	mill
мельничный	adjective of мельница
мельтешить	flicker
мельхиор	cupronickel,german silver
мельхиоровый	german silver
мельчайший	the smallest,the finest
мельчать	become petty,degenerate
мельчить	crush,grind,reduce the significance,lower the dignity
мелюзга	small fry
мембрана	membrane,diaphragm
меморандум	memorandum
мемориал	sports competitions,memorial
мемориальный	memorial
мемуар	memoire
мемуарист	author of memoirs,memorialist
мемуары	memoirs
мена	exchange,barter
менеджер	manager
менее	less
менестрель	minstrel
мензула	plane-table
мензурка	measuring-glass,graduate
менингит	meningitis
мениск	meniscus
меновой	exchange
менструальный	menstrual
менструация	period,menses,menstruation
менструировать	menstruate
мент	cop
менталитет	mentality,way of thinking
ментовка	police department
ментол	mentol
ментор	mentor
менторский	adjective of ментор
менуэт	minuet
меньше	less
меньшевизм	menshevism
меньшевик	menshevik
меньшевистский	menshevist
меньший	lesser,younger
меньшинство	minority
меньшой	younger
меню	menu,bill of fare
меня	genitive of i
меняла	money-changer,shroff
меняльный	money-changing
менять	change,exchange
меняться	change,exchange
мера	measure,step
мергель	marl
мереть	die,perish
мерещиться	seem,appear
мерзавец	villain,scoundrel
мерзавка	mean woman
мерзкий	vile,loathsome,nasty
мерзлота	frozen condition of ground
мерзляк	person very sensitive to cold
мерзлячка	person very sensitive to cold
мерзость	disgusting
меридиан	meridian
меридиональный	meridional
мерило	standard,criterion
мерин	gelding
меринос	merino
мерить	measure,try on
мериться	measure
мерка	measure,measuring rod,yardstick
меркантилизм	mercantilism,mercenary spirit
меркантильный	mercantile
меркнуть	fade,wane
меркурий	mercury
мерлушка	lambskin
мерность	regularity,rhythm
мерный	measured,slow and regular,measuring
мероприятие	activity
мерседес	mercedes,benz
мерсеризация	mercerization
мерсеризовать	mercerize
мертвенно-бледный	deathly pale
мертвенный	deathly,ghastly
мертветь	grow numb
мертвец	corpse,dead man
мертвецкая	mortuary,morgue
мертвечина	carrion,dead flesh,spiritual stagnation
мертворождённый	stillborn,abortive
мерцание	twinkling,shimmering,glimmer,flicker,scintillation
мерцать	twinkle,shimmer,glimmer,flicker
мерёжка	drawn-work,drawn-thread work,open-work
месиво	mash,medley,jumble
месилка	mixer
месить	knead,puddle
месмеризм	mesmerism
месса	mass
мессия	messiah
местами	here and there
местечко	little place,borough,small town
мести	sweep
местком	local trade union committee
местничество	localistic tendencies
местность	country,locality,district
местный	local
место	place,spot,site,locality,region
местожительство	residence
местоимение	pronoun
местоименный	pronominal
местонахождение	location,the whereabouts
местоположение	location,position
местопребывание	abode,residence
месторождение	deposit
месть	vengeance,revenge
месяц	month,moon
месячник	month
месячный	monthly
метабиоз	metabiosis
метагенез	metagenesis
металл	metal
металлизация	metallization
металлизировать	metallize
металлист	metal-worker
металлический	metallic,metal
металловедение	physical metallurgy
металлограф	metallography
металлоид	metalloid,non-metal
металлолом	scrap metal
металлоносный	metalliferous
металлообрабатывающий	metal-working
металлопрокатный	metal-rolling
металлопромышленность	metal industry
металлоёмкий	metal consuming
металлург	metallurgist
металлургический	metallurgical
металлургия	metallurgy
метаморфизм	metamorphism
метаморфоз	metamorphosis
метаморфоза	metamorphosis
метан	methane,marsh-gas
метание	throwing,casting
метаплазма	metaplasm
метастаз	metastasis
метастатический	metastatic
метатеза	metathesis
метатель	thrower
метательница	thrower
метательный	missile
метать	throw,cast,fling,baste
метаться	rush about,toss,flounce
метафизик	metaphysician
метафизика	metaphysics
метафизический	metaphysical
метафора	metaphor
метафорический	metaphorical,figurative
метафоричный	metaphorical
метацентр	metacentre
метацентрический	metacentric
метаязык	metalanguage
метель	snowstorm
метельчатый	panicled,paniculate
метельщик	sweeper
метельщица	sweeper
метемпсихоз	metempsychosis
метеор	meteor
метеорит	meteorite
метеорический	meteoric
метеоролог	meteorologist
метеорологический	meteorological
метеорология	meteorology
метеосводка	weather-report
метеослужба	meteorological service
метеоспутник	weather satellite
метизация	cross-breeding
метизы	hardware
метил	methyl
метилен	methylene
метис	mongrel,half-breed,metis
метить	mark,aim,mean,aspire
метка	marking,mark,sign
меткий	well-aimed,accurate,neat,apt
метко	neatly,to the point
меткость	accuracy,marksmanship,neatness
метла	broom,besom
метнуть	throw,cast,fling,baste
метод	method
метода	method
методика	method
методист	methodologist,specialist in teaching methods
методический	systematic,methodic
методичность	methodicalness
методичный	orderly,methodical
методологический	methodological
методология	methodology
метонимический	metonymical
метонимия	metonymy
метр	metre,metre measure ruler,master
метраж	metric area,footage
метранпаж	maker-up,clicker
метрдотель	head waiter
метрика	metrics,birth-certificate
метрический	metric,metrical
метро	metro,subway,underground
метровый	adjective of метр
